Class,rico:identifier,rico:hasRecordSetType,dcterms:title,dcterms:description,dcterms:dateInterv,dcterms:dateRaw,rico:hasCreatorRef,rico:hasCreatorNotRef,rico:hasReceiverRef,rico:hasReceiverNotRef,rico:hasPublisher,rico:isOrWasIncludedIn,rico:hasOrHadPhysicalLocation,crm:P44_has_condition,SOCIETES-DROP,INSTRUMENTS-DROP,DOC_ECRIT_DROP,rico:documents,dcterms:isVersionOf,rico:isDraftOf,rico:hasOrHadSubject,rico:hasDocumentaryFormType,rico:locationURI,rico:locationOS
rico:Record,F6.2.2/4,,,"Lettre à Laurent et Léonce Bechetoille (Annonay francs, suite de la lettre du 22 janvier)",,1902-01-25,,,,Laurent Bechetoille;Léonce Bechetoille,,F6.2.2,,,,,,,,,,,,
rico:Record,F6.2.2/5,,,"Reçu de paiement de Comptoir National d'escompte de Paris à Augustin Seguin, Annonay (dépôt banque Bechetoille)",,1902-01-30,,Comptoir National d'escompte de Paris,3955,,,F6.2.2,,,,,,,,,,,,
rico:Record,F6.2.2/6,,,"Reçu de paiement de Laurent et Léonce Bechetoille, banquiers d'Annonay à Augustin Seguin, Annonay (10000 francs, crédit)",,1902-01-31,,"Laurent et Léonce Bechetoille, banquiers d'Annonay",3955,,,F6.2.2,,,,,,,,,,,,
rico:Record,F6.2.2/7,,,"Reçu de paiement de Laurent et Léonce Bechetoille, banquiers d'Annonay à Augustin Seguin, Annonay (10000 francs, crédit)",,1902-03-26,,"Laurent et Léonce Bechetoille, banquiers d'Annonay",3955,,,F6.2.2,,,,,,,,,,,,
rico:Record,F6.2.2/8,,,"Lettre de Emile Labiche à Augustin Seguin, Lyon (problème de loyer)",,1902-04-11,,Emile Labiche,3955,,,F6.2.2,,,,,,,,,,,,
rico:Record,F6.2.2/9,,,"Reçu de paiement de Barbaud et Bauhain à Augustin Seguin, Lyon (50,75 francs, solde de tout honoraire)",,1902-06-09,,Barbaud et Bauhain,3955,,,F6.2.2,,,,,,,,,,,,
rico:RecordSet,F6.2.3,Sous-dossier d'archives,,Loyers,1902/1903,,,,,,,F6.2,,,,,,,,,,,,
rico:Record,F6.2.3/1,,,"Facture de Cabinet d'Ogny à Augustin Seguin, Paris (200,5 francs, rue Stanislas)",1902-01-10/1903-01-27,,,Cabinet d'Ogny,3955,,,F6.2.3,,,,,,,,,,,,
rico:Record,F6.2.3/2,,,"Lettre de Labiche, Lyon (1933,1 francs, réparations et loyer Lyon)",1902-03-16/1903-03-27,,,Labiche,,,,F6.2.3,,,,,,,,,,,,
rico:Record,F6.2.3/3,,,"Etat à Hugues d'Aubarède (3439,05 francs)",1902-01/1903-12-31,,,,,Hugues d'Aubarède,,F6.2.3,,,,,,,,,,,,
rico:Record,F6.2.3/4,,,"Quittance de Fayard, mandataire à Augustin Seguin, Lyon (2647,35 francs)",,1902-06-06,,"Fayard, mandataire",3955,,,F6.2.3,,,,,,,,,,,,
rico:Record,F6.2.3/5,,,"Etat de Hugues d'Aubarède à Augustin Seguin, Lyon (9406,75 francs, maison quai de la Charité)",1902-07/1903-06-15,,,Hugues d'Aubarède,3955,,,F6.2.3,,,,,,,,,,,,
rico:Record,F6.2.3/6,,,"Quittance de Cabinet d'Ogny à Augustin Seguin, Paris (201 francs, 12 rue Stanislas)",1902-07-01/1903-12-24,,,Cabinet d'Ogny,3955,,,F6.2.3,,,,,,,,,,,,
rico:Record,F6.2.3/7,,,"Reçu de paiement à Augustin Seguin, Lyon (2429,1 francs)",1902-07-01/1903-12-24,,,,3955,,,F6.2.3,,,,,,,,,,,,
rico:RecordSet,F6.2.4,Sous-dossier d'archives,,"Entreprises, sociétés, sociétés savantes",1902/1903,,,,,,,F6.2,,,,,,,,,,,,
rico:Record,F6.2.4/1,,,"Reçu de paiement de Filature de Schappe à Augustin Seguin, Lyon (2317,5 francs, dont 927 f prélevés à New York par M.Marc Seguin)",1902-01-30/1903-12-27,,,Filature de Schappe,3955,,,F6.2.4,,,,,,,,,,,,
rico:Record,F6.2.4/2,,,"Reçu de paiement de Société Lyonnaise des concerts de musique classique à Augustin Seguin, Lyon (55 francs)",1902-02-21/1903-12-31,,,Société Lyonnaise des concerts de musique classique,3955,,,F6.2.4,,,,,,,,,,,,
rico:Record,F6.2.4/3,,,"Reçu de paiement de Réveil Républicain à Augustin Seguin, Lyon (200 francs)",1902-02-25/1903-12-31,,,Réveil Républicain,3955,,,F6.2.4,,,,,,,,,,,,
rico:Record,F6.2.4/4,,,"Reçu de paiement de Le Nouvelliste à Augustin Seguin, Lyon (20 francs)",1902-02-21/1903-12-31,,,Le Nouvelliste,3955,,,F6.2.4,,,,,,,,,,,,
rico:Record,F6.2.4/5,,,"Reçu de paiement de Société des Ingénieurs Civils de France à Augustin Seguin, Lyon (36 francs)",1902-05-07/1903-12-31,,,Société des Ingénieurs Civils de France,3955,,,F6.2.4,,,,,,,,,,,,
rico:Record,F6.2.4/6,,,"Facture de Société Météorologique à Augustin Seguin, Paris (30 francs, nomination et cotisation)",,1902-06-04,,Société Météorologique,3955,,,F6.2.4,,,,,,,,,,,,
rico:Record,F6.2.4/7,,,"Reçu de paiement de Bibliothèque Annonay à Augustin Seguin, Varagnes (7 francs, 3 mois abonnement)",,1902-07-23,,Bibliothèque Annonay,3955,,,F6.2.4,,,,,,,,,,,,
rico:Record,F6.2.4/8,,,"Facture de Filature de Schappe à Augustin Seguin, Lyon (2017,05 francs, pour Marc à New York)",,1902-10-14,,Filature de Schappe,3955,,,F6.2.4,,,,,,,,,,,,
rico:Record,F6.2.4/9,,,"Facture de Syndicat National Agricole à Paul Seguin, 2, Place Carnot, Lyon (5 francs)",,1902-10-19,,Syndicat National Agricole,3930,,,F6.2.4,,,,,,,,,,,,
rico:RecordSet,F6.2.5,Sous-dossier d'archives,,Comptes,1901/1902,,,,,,,F6.2,,,,,,,,,,,,
rico:Record,F6.2.5/1,,,"Facture (17 francs, machine à vapeur)",,1902-04-04,,,,,,F6.2.5,,,,,,,,,,,,
rico:Record,F6.2.5/2,,,"Facture (757,25 francs, achat de foin, paiements de livraisons, vente de fruit et légumes etc)",,1901-10,,,,,,F6.2.5,,,,,,,,,,,,
rico:Record,F6.2.5/3,,,"Facture (407,1 francs, liste de chiffres)",,1902-10-01,,,,,,F6.2.5,,,,,,,,,,,,
rico:Record,F6.2.5/4,,,"Facture (289,65 francs, mélange transports, vêtement, nourriture, charité etc,,,)",,1902-03-16,,,,,,F6.2.5,,,,,,,,,,,,
rico:Record,F6.2.5/5,,,Facture (75 francs),,1902-03-16,,,,,,F6.2.5,,,,,,,,,,,,
rico:Record,F6.2.5/6,,,"Facture (507,5 francs)",,1902-03-16,,,,,,F6.2.5,,,,,,,,,,,,
rico:Record,F6.2.5/7,,,Facture (390 francs),,1902-03-16,,,,,,F6.2.5,,,,,,,,,,,,
rico:Record,F6.2.5/8,,,"Facture (100 francs, docteur)",,1902-03-16,,,,,,F6.2.5,,,,,,,,,,,,
