dcterms:identifier,rico:hasOrHadPhysicalLocation,bibo:authorListOS,bibo:authorListURI,bibo:authorListTXT,dcterms:title,bibo:edition ,bibo:issue,dcterms:createdRAW,dcterms:createdINT,dcterms:format,bibo:editor,bibo:numVolumes,dcterms:description
BIB00001,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,Billet,Traité d'optique physique,,,1858,,,,2 volumes,Demi-chagrin
BIB00002,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,http://ark.bnf.fr/ark:/12148/cb119176085 Isaac Newton,,"Optique, traduction nouvelle par M***",,,1787,,,,,
BIB00003,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,R. Smith,"Traité d'optique, et Supplément",,,1767,,,,1 volume,
BIB00004,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,R. Smith,Cours complet d'optique,,,1767,,,,2 volumes,Plein veau
BIB00005,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,Beer,Introduction à la haute optique,,,1858,,,,1 volume,Broché
BIB00006,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,http://ark.bnf.fr/ark:/12148/cb13475113j Pierre Van Musschenbroek,,Coure de physique...,,,1769,,,,3 volumes,Plein veau
BIB00007,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,http://ark.bnf.fr/ark:/12148/cb12403361w Edmond Becquerel,,"La lumière, ses causes et ses effets",,,1867,,,,,
BIB00008,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,E.-L Malus,Théorie de la double réfraction de la lumière,,,1810,,,,1 volume,Plein veau
BIB00009,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,http://ark.bnf.fr/ark:/12148/cb12150160s Jean-Baptiste Biot,,Recherches expérimentales... sur... la lumière,,,1814,,,,1 volume,Pleine basane
BIB00010,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,Alembert,Traité de dynamique,,,1758,,,,1 volume,Plein veau
BIB00011,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,Brisson,Atlas physique,,,,,,,,
BIB00012,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,Henri Van Heurck,"La technique et les applications des rayons X, guide pratique du radiographe",,,1897,,,,,
BIB00013,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,L. Macé de Lépinay,Franges d'interférence,,,1902,,,,,Cartonné
BIB00014,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,J. Dufailly,Problèmes de physique,,,1884,,,,,Papier souple
BIB00015,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,Ad. Rion,Éléments de physique,,,,1867/1868,,,,Papier souple
BIB00016,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,P. Besson,Le radium et la radioactivité,,,1904,,,,,Papier souple
BIB00017,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,Delezenne,Notes sur la polarisation,,,,1834/1835,,,1 volume,Demi-cuir
BIB00018,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,Grandeau,Instruction pratique de l'analyse spectrale,,,1863,,,,1 volume,Demi-chagrin
BIB00019,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,http://ark.bnf.fr/ark:/12148/cb12402520m Claude Pouillet,,Éléments de physique expérimentale et de météorologie,,,1853,,,,3 volumes,
BIB00020,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,http://ark.bnf.fr/ark:/12148/cb12402520m Claude Pouillet,,Éléments de physique expérimentale et de météorologie,,,1827,,,,3 volumes,
BIB00021,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,http://ark.bnf.fr/ark:/12148/cb12402520m Claude Pouillet,,Éléments de physique expérimentale et de météorologie,,,1828,,,,2 volumes,Demi-basane
BIB00022,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,http://ark.bnf.fr/ark:/12148/cb12402520m Claude Pouillet,,Éléments de physique expérimentale et de météorologie,,,1847,,,,2 volumes,Demi-basane
BIB00023,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,http://ark.bnf.fr/ark:/12148/cb118952291 Lazare Carnot,,Principes... de l'équilibre et du mouvement,,,1803,,,,1 volume,Demi-chagrin
BIB00024,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,http://ark.bnf.fr/ark:/12148/cb118952291 Lazare Carnot,,Réflexions sur la métaphysique du calcul infinitésimal,4e édition,,1860,,,,,
BIB00025,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,http://ark.bnf.fr/ark:/12148/cb118952291 Lazare Carnot,,Réflexions sur la métaphysique du calcul infinitésimal,2e édition,,1813,,,,,
BIB00026,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,,F. Coyteux,Discussion sur les principes de la physique,,,1864,,,,1 volume,Demi-chagrin
BIB00027,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,,Ch. Matteucci,Leçons sur les phénomènes physiques des corps...,,,1847,,,,1 volume,Demi-chagrin
BIB00028,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,http://ark.bnf.fr/ark:/12148/cb13077724n Aimé Witz,,Cours de manipulations physiques,,,1883,,,,1 volume,Demi-toile
BIB00029,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,http://ark.bnf.fr/ark:/12148/cb12485060v Jules Gavarret,,Les Phénomènes physiques de la vie,,,1869,,,,1 volume,Demi-chagrin
BIB00030,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,http://ark.bnf.fr/ark:/12148/cb12174218n Lucien Poincaré,,La Physique moderne,,,1906,,,,1 volume,Demi-chagrin
BIB00031,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,,Secchi,L'Unité des forces physiques,,,1869,,,,1 volume,Demi-chagrin
BIB00032,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,,Secchi,L'Unité des forces physiques,2e édition,,1874,,,,,
BIB00033,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,http://ark.bnf.fr/ark:/12148/cb12150160s Jean-Baptiste Biot,,Traité de physique expérimentale et mathématique,,,1816,,,,4 volumes,Cartonné
BIB00034,"Bibliothèque scientifique en vitrine, travée 1, étagère 2",,,J.-A. de Luc,Recherches sur les modifications de l'atmosphère,,,1784,,,,4 volumes,Pleine basane
BIB00035,"Bibliothèque scientifique en vitrine, travée 1, étagère 3",,,Privat-Deschanel,Traité... de physique,,,1869,,,,1 volume,Broché
BIB00036,"Bibliothèque scientifique en vitrine, travée 1, étagère 3",,http://ark.bnf.fr/ark:/12148/cb120403630 François Arago,,Œuvres complètes,,,1854,,,,4 volumes,Demi-basane
BIB00037,"Bibliothèque scientifique en vitrine, travée 1, étagère 3",,,,Catalogue des livres composant la bibliothèque d'Arago,,,,,,,1 volume,Demi-chagrin
BIB00038,"Bibliothèque scientifique en vitrine, travée 1, étagère 3",,,Somerville,Delà connexion des sciences physiques,,,1837,,,,1 volume,Demi-veau
BIB00039,"Bibliothèque scientifique en vitrine, travée 1, étagère 3",,,C. Despretz,Traité élémentaire de physique,3e édition,,1832,,,,,
BIB00040,"Bibliothèque scientifique en vitrine, travée 1, étagère 3",,http://ark.bnf.fr/ark:/12148/cb125639718 Jules-Célestin Jamin,,Cours de physique de l'École polytechnique,,,1888,,,,3 volumes,Demi-chagrin
BIB00041,"Bibliothèque scientifique en vitrine, travée 1, étagère 3",,http://ark.bnf.fr/ark:/12148/cb125639718 Jules-Célestin Jamin,,Cours de physique de l'École polytechnique,,,,1863/1866,,,3 volumes,
BIB00042,"Bibliothèque scientifique en vitrine, travée 1, étagère 3",,http://ark.bnf.fr/ark:/12148/cb125639718 Jules-Célestin Jamin,,Cours de physique de l'École polytechnique,,,1869,,,,,
BIB00043,"Bibliothèque scientifique en vitrine, travée 1, étagère 3",,http://ark.bnf.fr/ark:/12148/cb12559177c Pierre-Adolphe Daguin,,Traité élémentaire de physique théorique et expérimentale,,,,1861/1862,,,4 volumes,
BIB00044,"Bibliothèque scientifique en vitrine, travée 1, étagère 3",,http://ark.bnf.fr/ark:/12148/cb12559177c Pierre-Adolphe Daguin,,Cours élémentaires de physique,,,1848,,,,1 volume,Demi-basane
BIB00045,"Bibliothèque scientifique en vitrine, travée 1, étagère 3",,,,Encyclopédie Physique,,,,,,,,
BIB00046,"Bibliothèque scientifique en vitrine, travée 1, étagère 4",,,,Annales de chimie et de physique,,4e série. Tome 1 à 6 et 28 à 30,,1864/1873,,,,
BIB00047,"Bibliothèque scientifique en vitrine, travée 1, étagère 4",,,Pelouze;Frémy,Traité de chimie générale,,,,1860/1864,,,6 volumes,Demi-chagrin
BIB00048,"Bibliothèque scientifique en vitrine, travée 1, étagère 4",,,Pelouze;Frémy,Traité de chimie générale,3e édition,,1865,,,,,
BIB00049,"Bibliothèque scientifique en vitrine, travée 1, étagère 5",,,J. Percy,Traité complet de métallurgie,,,,1864/1867,,,5 volumes,Demi-chagrin
BIB00050,"Bibliothèque scientifique en vitrine, travée 1, étagère 5",,,H. Rose,Traité complet de chimie analytique,,,,1859/1862,,,2 volumes,Demi-chagrin
BIB00051,"Bibliothèque scientifique en vitrine, travée 1, étagère 5",,http://ark.bnf.fr/ark:/12148/cb12359780k Adolphe Wurtz,,Dictionnaire de chimie pure et appliquée,,,,1869/1878,,,5 volumes,Demi-chagrin
BIB00052,"Bibliothèque scientifique en vitrine, travée 1, étagère 5",,http://ark.bnf.fr/ark:/12148/cb12359780k Adolphe Wurtz,,Dictionnaire de chimie pure et appliquée,,,,1869/1878,,,2 volumes,
BIB00053,"Bibliothèque scientifique en vitrine, travée 1, étagère 5",,http://ark.bnf.fr/ark:/12148/cb12359780k Adolphe Wurtz,,Leçons élémentaires de chimie moderne,,,1875,,,,1 volume,Demi-chagrin
BIB00054,"Bibliothèque scientifique en vitrine, travée 1, étagère 5",,http://ark.bnf.fr/ark:/12148/cb12544153z Ferdinand Hoefer,,Dictionnaire de physique et de chimie,,,1860,,,,1 volume,Demi-chagrin
BIB00055,"Bibliothèque scientifique en vitrine, travée 1, étagère 5",,http://ark.bnf.fr/ark:/12148/cb12544153z Ferdinand Hoefer,,Dictionnaire de physique et de chimie,,,1851,,,,1 volume,Demi-chagrin
BIB00056,"Bibliothèque scientifique en vitrine, travée 1, étagère 5",,http://ark.bnf.fr/ark:/12148/cb12544153z Ferdinand Hoefer,,La Chimie enseigné par la biographie de ses fondateurs,,,1865,,,,1 volume,Demi-basane
BIB00057,"Bibliothèque scientifique en vitrine, travée 1, étagère 5",,http://ark.bnf.fr/ark:/12148/cb12544153z Ferdinand Hoefer,,Histoire de la chimie,,,1866,,,,,
BIB00058,"Bibliothèque scientifique en vitrine, travée 1, étagère 5",,,F Accum,Traité... des réactifs chimiques,,,1819,,,,1 volume,Demi-veau
BIB00059,"Bibliothèque scientifique en vitrine, travée 1, étagère 5",,,Barreswill;Girard,Dictionnaire de chimie industrielle,,,,1861/1864,,,5 volumes,Demi-maroquin
BIB00060,"Bibliothèque scientifique en vitrine, travée 1, étagère 5",,,Barreswill;Davanne,Chimie photographique,,,1864,,,,1 volume,Demi-maroquin
BIB00061,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,http://ark.bnf.fr/ark:/12148/cb12497625p Faustin Malaguti,,Leçons élémentaires de chimie,,,1863,,,,2 volumes,Demi-basane
BIB00062,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,http://ark.bnf.fr/ark:/12148/cb12497625p Faustin Malaguti,,Chimie appliquée à l'agriculture,,,1862,,,,3 volumes,Demi-chagrin
BIB00063,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,http://ark.bnf.fr/ark:/12148/cb12497625p Faustin Malaguti,,Leçons élémentaires de chimie,,,1868,,,,,
BIB00064,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,Pelouze;Frémy,Abrégé de chimie,,,1859,,,,3 volumes,Demi-basane
BIB00065,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,Troost,Traité élémentaire de chimie,,,1887,,,,1 volume,Demi-basane
BIB00066,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,Payen,"La Chimie enseignée en 26 leçons..., traduit de l'anglais par Payen",,,1824,,,,,
BIB00067,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,Gerhard. Ch.;Chancel G.,Précis d'analyse chimique quantitative,,,1859,,,,1 volume,Demi-basane
BIB00068,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,A. B. Poggiale,Traité d'analyse chimique parla méthode des volumes,,,1858,,,,1 volume,Demi-basane
BIB00069,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,http://ark.bnf.fr/ark:/12148/cb119027577 Louis Figuier,,L'Année scientifique,,,,1867/1869,,,I1,Demi-maroquin
BIB00070,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,http://ark.bnf.fr/ark:/12148/cb119027577 Louis Figuier,,L'Année scientifique,,,1861,,,,,
BIB00071,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,http://ark.bnf.fr/ark:/12148/cb119027577 Louis Figuier,,L'Année scientifique,,,,1857/1869,,,I1,Demi-maroquin
BIB00072,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,Thénard,Traité de chimie élémentaire,,,,1834/1836,,,5 volumes,Cartonné
BIB00073,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,Poisson,Traité de mécanique,,,1833,,,,2 volumes,Demi-basane
BIB00074,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,C. Despretz,Traité élémentaire de physique,4e édition,,1836,,,,,
BIB00075,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,Cazin,La chaleur,,,1867,,,,1 volume,Demi-chagrin
BIB00076,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,A. Huard,Traité de cristallographie,,,1854,,,,1 volume,Demi-basane
BIB00077,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,Williams,Considérations... sur la combustion du charbon,,,1860,,,,1 volume,Demi-chagrin
BIB00078,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,http://ark.bnf.fr/ark:/12148/cb12982539j Auguste Belloc,,Photographie rationnelle,,,1862,,,,,Cartonné
BIB00079,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,Berzélius,de l'emploi du chalumeau,,,1843,,,,,Cartonné
BIB00080,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,P. Daure,Introduction à l'étude de l'effet Raman...,,,1933,,,,,Papier
BIB00081,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,http://ark.bnf.fr/ark:/12148/cb13479176d Georges Lemoine,,Études quantitatives sur l'action chimique de la lumière...,,,1895,,,,,dédicace de l'auteur
BIB00082,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,http://ark.bnf.fr/ark:/12148/cb120385680 Georges Lemoine,,Études quantitatives sur l'action chimique de la lumière...,,,1895,,,,,dédicace de l'auteur
BIB00083,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,Chappuis;Berget,Cours de physique à l'usage des candidats aux écoles spéciales...,,,1898,,,,,
BIB00084,"Bibliothèque scientifique en vitrine, travée 1, étagère 6",,,Moignot,[Conférences diverses],,,,,,,38 volumes,
BIB00085,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Claude-François Milliet de Challes,"Cursus, seu Mundus mathematicus",,,1690,,,,,
BIB00086,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Keill,Introductiones ad veram physicam et veram astronomiam,,,1721,,,,,
BIB00087,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Delisle,Éléments de trigonométrie...,,,,,,,1 volume,Demi-basane
BIB00088,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,L'hospital Guillaume-François-Antoine;Bougainville,"Calculi infinitesimalis, 1ére partie: Calcul différentiel, Calculi infinitesimalis 2e partie : Calcul intégral",,,1764,,,,,
BIB00089,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Taylor,"A sexagésimal table, exhibiting at sight the resuit of any proportion",,,1780,,,,,
BIB00090,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Audierne,Traité complet de trigonométrie,,,1756,,,,1 volume,Pleine basane
BIB00091,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Cagnoli,Traité de trigonométrie rectiligne et sphérique,,,1786,,,,1 volume,Pleine basane
BIB00092,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Cagnoli,Traité de trigonométrie rectiligne et sphérique,2e édition,,1808,,,,,
BIB00093,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Bourdon,Traité de trigonométrie rectiligne et sphérique,,,1854,,,,,Cartonné
BIB00094,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,http://ark.bnf.fr/ark:/12148/cb10354854t Adrien Guilmin,,Cours élémentaires de trigonométrie rectiligne,,,1859,,,,1 volume,Demi-maroquin
BIB00095,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Gardiner,Tables de logarithmes,,,1770,,,,1 volume,Demi-basane
BIB00096,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Vega,Thésaurus logarithmorum...,,,1794,,,,1 volume,Pleine basane
BIB00097,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Bagay,Tables de logarithmes,,,,,,,1 volume,Plein parchemin
BIB00098,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Callet,Tables portatives de logarithmes,,,1864,,,,2 volumes,Reliés identiques
BIB00099,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,,Tables de logarithmes pour les sinus et tangentes de toutes les minutes du quart de cercle...,,,1768,,,,,Demi-basane
BIB00100,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,http://ark.bnf.fr/ark:/12148/cb12012398h Jérôme Lalande,,Tables de logarithmes,,,1828,,,,,Cartonné
BIB00101,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,http://ark.bnf.fr/ark:/12148/cb12012398h Jérôme Lalande,,Tables de logarithmes,,,1842,,,,,Basane
BIB00102,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,http://ark.bnf.fr/ark:/12148/cb12012398h Jérôme Lalande,,Tables de logarithmes,,,1854,,,,,Demi-basane
BIB00103,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,,Table des quarretz parfaits,,,,,,,,
BIB00104,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Arbogast,Du calcul des dérivations,,,1800,,,,1 volume,Broché
BIB00105,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Burkhardt,Tables des diviseurs pour tous les nombres du premier millio 1817,,,,,,,1 volume,Broché
BIB00106,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,http://ark.bnf.fr/ark:/12148/cb12125247f Joseph-Louis Lagrange,,Leçons sur le calcul des fonctions,,,1806,,,,1 volume,Broché
BIB00107,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,,Table des logarithmes,,,,,,,,
BIB00108,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,,Gnomique,,,,,,,,
BIB00109,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,,Équations algébriques,,,,,,,,
BIB00110,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,,Gnomonique,,,1812,,,,,Brochure reliée
BIB00111,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,Artur,Application de la règle logarithmique,,,,,,,,
BIB00112,"Bibliothèque scientifique en vitrine, travée 2, étagère 1",,,,Mémoire sur l'intégration des équations différentielles,,,,,,,,
BIB00113,"Bibliothèque scientifique en vitrine, travée 2, étagère 2",,,Gravesande,Physices elementa mathematica,,,1748,,,,2 volumes,Pleine basane
BIB00114,"Bibliothèque scientifique en vitrine, travée 2, étagère 2",,,Alexis Fontaine,Traité de calcul différentiel et intégral,,,1770,,,,1 volume,Plein veau
BIB00115,"Bibliothèque scientifique en vitrine, travée 2, étagère 2",,http://ark.bnf.fr/ark:/12148/cb119176085 Isaac Newton,,Opuscula mathematica philosophica et philologica,,,1744,,,,3 volumes,Pleine basane
BIB00116,"Bibliothèque scientifique en vitrine, travée 2, étagère 2",,http://ark.bnf.fr/ark:/12148/cb119176085 Isaac Newton,,Opéra omnia optica,,,1749,,,,1 volume,Pleine basane
BIB00117,"Bibliothèque scientifique en vitrine, travée 2, étagère 2",,http://ark.bnf.fr/ark:/12148/cb119176085 Isaac Newton,,Philosophiae naturalis principia mathematica,,,1760,,,,4 volumes,Pleine basane
BIB00118,"Bibliothèque scientifique en vitrine, travée 2, étagère 2",,http://ark.bnf.fr/ark:/12148/cb119176085 Isaac Newton,,Arithmétique universelle traduite du latin en français par N. Beaudieux,,,1803,,,,1 volume,Pleine basane
BIB00119,"Bibliothèque scientifique en vitrine, travée 2, étagère 2",,http://ark.bnf.fr/ark:/12148/cb119176085 Isaac Newton,,"Arithmetica universalis, sive compositione et resolutione arithmetica liber",,,1732,,,,,
BIB00120,"Bibliothèque scientifique en vitrine, travée 2, étagère 2",,http://ark.bnf.fr/ark:/12148/cb120008715 Charles Reyneau,,"Analyse démontrée ou la méthode de résoudre des problèmes mathématiques, dédiée au Duc de Bourgogne",,,1708,,,,,
BIB00121,"Bibliothèque scientifique en vitrine, travée 2, étagère 2",,,Euler,Introductio in analysim infinitorum,,,1797,,,,2 volumes,Plein veau
BIB00122,"Bibliothèque scientifique en vitrine, travée 2, étagère 2",,,Euler,Institutiones calculi differentialis,,,1787,,,,2 volumes,Plein veau
BIB00123,"Bibliothèque scientifique en vitrine, travée 2, étagère 2",,,Euler,Opuscula analytica tome 1er,,,1788,,,,1 volume,Plein veau
BIB00124,"Bibliothèque scientifique en vitrine, travée 2, étagère 2",,,Le Seur;Jacquier,Elémens du calcul intégral,,,1768,,,,,
BIB00125,"Bibliothèque scientifique en vitrine, travée 2, étagère 2",,http://ark.bnf.fr/ark:/12148/cb121904326 Antoine Deparcieux,,Nouveaux traités de trigonométrie rectiligne et sphérique,,,1741,,,,1 volume,Pleine basane
BIB00126,"Bibliothèque scientifique en vitrine, travée 2, étagère 2",,,Boucharlat,Elémens de calcul différentiels et de calcul intégral,,,1858,,,,1 volume,Demi-chagrin
BIB00127,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,,Mémoires de mathématique et de physique rédigés à l'observatoire de Marseille,,,1756,,,,1 volume,Broché
BIB00128,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,Bézout,Cours de mathématique à l'usage du corps de l'artillerie,,,1793,,,,2 volumes,Broché
BIB00129,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,Allotte,Géométrie élémentaire,,,1858,,,,,Demi-basane
BIB00130,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,J. Dufailly,Algèbre,,,1884,,,,,Papier
BIB00131,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,Auber,Leçon d'arithmétique...,,,1858,,,,,Cartonné
BIB00132,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,http://ark.bnf.fr/ark:/12148/cb12443375d Adrien Marie Legendre,,Éléments de géométrie,,,1859,,,,,Cartonné
BIB00133,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,http://ark.bnf.fr/ark:/12148/cb12443375d Adrien Marie Legendre,,Éléments de géométrie,,,1842,,,,,Cartonné
BIB00134,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,http://ark.bnf.fr/ark:/12148/cb12443375d Adrien Marie Legendre,,Éléments de géométrie,,,1847,,,,,Demi-basane
BIB00135,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,http://ark.bnf.fr/ark:/12148/cb12443375d Adrien Marie Legendre,,Éléments de géométrie,,,1823,,,,,Cartonné
BIB00136,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,http://ark.bnf.fr/ark:/12148/cb12443375d Adrien Marie Legendre,,Éléments de géométrie,,,1864,,,,2 volumes,
BIB00137,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,http://ark.bnf.fr/ark:/12148/cb12443375d Adrien Marie Legendre,,Table,,,,,,,,
BIB00138,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,Roguet,Leçon de géométrie analytique,,,1860,,,,,Demi-basane
BIB00139,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,http://ark.bnf.fr/ark:/12148/cb12150160s Jean-Baptiste Biot,,Essais de géométrie,,,1810,,,,,Demi-basane
BIB00140,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,http://ark.bnf.fr/ark:/12148/cb10354854t Adrien Guilmin,,Géométrie élémentaire,,,1859,,,,,
BIB00141,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,http://ark.bnf.fr/ark:/12148/cb10354854t Adrien Guilmin,,Arithmétique,,,1860,,,,,
BIB00142,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,http://ark.bnf.fr/ark:/12148/cb10354854t Adrien Guilmin,,Cours complet d'arithmétique,,,1865,,,,,
BIB00143,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,http://ark.bnf.fr/ark:/12148/cb10354854t Adrien Guilmin,,Algèbre,,,1860,,,,,
BIB00144,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,http://ark.bnf.fr/ark:/12148/cb10354854t Adrien Guilmin,,Mathématiques appliquées,,,1863,,,,,
BIB00145,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,Lonchampt,Problèmes...,,,1863,,,,,
BIB00146,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,C. François-Franck,Recueil de composition...,,,1859,,,,,
BIB00147,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,Frères des Écoles Chrétiennes,Traité d'arithmétique,,,,,,,,
BIB00148,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,J. Claudel,Tables des carrés et des cubes...,,,1862,,,,,
BIB00149,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,A. Amiot,Applications de la géométrie...,,,1860,,,,,
BIB00150,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,Paque,Principes fondamentaux de l'algèbre,,,1862,,,,,
BIB00151,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,,Table des nombres carrés et cubiques,,,,,,,,
BIB00152,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,Frère P.,Cours d'arithmétique,,,1861,,,,,
BIB00153,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,Burat,Traité d'arithmétique,,,1885,,,,,
BIB00154,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,Guy,Cours d'arithmétique vulgaire et savante,,,1860,,,,,
BIB00155,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,Sonnet,Éléments de mathématiques...,,,,,,,,
BIB00156,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,Fusinieri;Reinchenbach,La dinamica molecolare,,,1866,,,,1 volume,Broché
BIB00157,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,C. Aubert,Traité d'élémentaire d'algèbre,,,1857,,,,,
BIB00158,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,http://ark.bnf.fr/ark:/12148/cb15321614c Eugène de Fourcy,,Traité de géométrie descriptive,,,1830,,,,,
BIB00159,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,http://ark.bnf.fr/ark:/12148/cb15321614c Eugène de Fourcy,,Leçon de géométrie analytique,,,1859,,,,,
BIB00160,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,Bertaux-Levillain,Éléments de géométrie descriptive,,,1847,,,,,
BIB00161,"Bibliothèque scientifique en vitrine, travée 2, étagère 3",,,Chollet,Traité de géométrie descriptive,,,1905,,,,,
