rico:hasOrHadPhysicalLocation,rico:isOrWasIncludedIn,dcterms:identifier,dcterms:title,rico:descriptiveNote,schema:fromLocationURI,schema:fromLocationTXT,dcterms:description,crm:P44_has_condition,curation:note,dcterms:dateSubmitted
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00220,Argile,"""N° 85 Argile plastique grise Issy""",https://sws.geonames.org/3012649/ Issy-les-Moulineaux,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00221,Calcaire,"""N° 86 Calcaire grossier glauconieux Vaugirard""",https://sws.geonames.org/2970479/ Vaugirard (Paris),,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00222,Glauconite du calcaire,"""N° 87 Glauconite du calcaire grosssier Vaugirard""",https://sws.geonames.org/2970479/ Vaugirard (Paris),,Glauconite du calcaire ; en bouteille en verre,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00223,Calcaire,"""N° 88 Calcaire grossier Paris""",https://sws.geonames.org/2988507/ Paris,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00224,Calcaire,"""N° 89 Calcaire Arithium Echinoides Sèvres""",https://sws.geonames.org/2974678/ Sèvres,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00225,Calcaire,"""N° 90 Calcaire pierre à filtrer Paris""",https://sws.geonames.org/2988507/ Paris,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00226,Gypse calcaifère,"""N° 91 Gypse calcarifère Paris""",https://sws.geonames.org/2988507/ Paris,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00227,Albâtre gypseux,"""N° 92 Albâtre gypseux Lagny Meaul""",https://sws.geonames.org/3009071/ Lagny-sur-Marne?,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00228,Argile,"""N° 70 Argile à moule de fossile Dives (Calvados)""",https://sws.geonames.org/3021301/ Dives-sur-Mer,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00229,Marne,"""N° 71 Marne de Villiers près Dives Calvados""",,"Villiers près Dives, Calvados",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00230,Feu oolithique,"""N° 72 Feu oolithique de Launois (Ardennes)""",https://sws.geonames.org/3006007/ Launois-sur-Vence,,Feu oolithique ; en bouteille en verre,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00231,Calcaire,"""N° 73 Calcaire priso oolithique Connerre Yonne""",,"Connerre, Yonne",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00232,Calcaire,"""N° 74 Calcaire blanc à eutroques Echaillon Isère""",,"Echaillon, Isère",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00233,Calcaire,"""N° 75 Calcaire compacté Connerre Yonne""",,"Connerre, Yonne",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00234,Calcaire,"""N° 76 Calcaire lithographique Bavière""",https://sws.geonames.org/2951839/ Bavière,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00235,Lumachelle argileuse,"""N° 77 Lumachelle argileuse Marolles (Aube)""",,"Marolles, Aube",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00236,Grès calcaire,"""N° 79 Grès calcaire à Ostrea Ardeneusi St Florentin Yonne""",https://sws.geonames.org/2980111/ Saint-Florentin,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00237,Grès,"""N° 59 Grès bigarré Saverne Vosges""",https://sws.geonames.org/2975588/ Saverne,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00238,Grès,"""N° 61 Grès supèrieux Keuper de Stuttgard""",https://sws.geonames.org/2825297/ Stuttgart,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00239,Calcaire,"""N° 62 Calcaire ammonifère (Alpes)""",,Alpes,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25276,S-00240,Craie,,,,Craie rouge,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00241,Calcaire argileux,"""N° 64 Calcaire argileux Sainte Mère Eglise Manche""",https://sws.geonames.org/2980397/ Sainte-Mère-Église,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00242,Schiste,"""N° 65 Schiste à gaz de Bole Vurtemberg""",https://sws.geonames.org/2953481/ Bade-Wurtemberg?,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00243,Ampholite,"""N° 66 Ampholite Crayon noir Hanovre""",https://sws.geonames.org/2910831/ Hanovre,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00244,Calcaire,"""N° 67 Calcaire oolithes ferrigineux Bayeux""",https://sws.geonames.org/3034483/ Bayeux,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25276,S-00245,Amiante,,,,,,/!\ Pas d’inhalation ou ingestion des fibres,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00246,Calcaire,"""N° 68 Calcaire à Entrogue Rouville Calvados""",,"Rouville, Calvados",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00247,Oolithe,"""N° 69 Oolithe unillaire Caen""",https://sws.geonames.org/3029241/ Caen,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00248,Schiste ardoisier,"""N° 45 Schiste ardoiseir Angers""",https://sws.geonames.org/3037656/ Angers,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00249,Grès,"""N° 46 Grès gris de Giver Ardennes""",https://sws.geonames.org/6425950/ Givet,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00250,Houille,"""3""",,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00251,Calcaire,"""N° 48 Calcaire orthocérès Bohème""",https://sws.geonames.org/3078198/ Bohème,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00252,Ponce,"""30""",,,Ponce tubulaire ; pas à sa place parmi des roches principalement sédimentaires.,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00253,Psammite,"""N° 49 Psammite à chorites Coblentz""",https://sws.geonames.org/2886946/ Coblence,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00254,Psammite,"""N° 50 Psammite Gris la Croisille I. er. Vilaine""",,"La Croisille, Ille-et-Villaine",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00255,Marbre,"""N° 51 Marbre gris Farques Pas-de-Calais""",https://sws.geonames.org/3018672/ Ferques,,Marbre gris,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00256,Augite,"""14""",,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00257,Calcaire,"""N° 53 Calcaire noir à eutroques Sablé Sarthe""",https://sws.geonames.org/2982076/ Sablé-sur-Sarthe,,Calcaire noir,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00258,Houille grasse,"""N° 55 Houille grasse St Mons""",,"[Mons, Var? Mons, Belgique ?]",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00259,Houille grasse,,,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (premier rang)",25272,S-00260,Calcaire,"""58""",,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00261,Roche volcanique noire,"""N° 37 Lave scorifié ancienne Riedenberg Prusse""",,"Reidenberg, Prusse",Lave,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00262,Tephrine,"""N° 38 Tephrine de Volvic Puy de Dôme""",https://sws.geonames.org/2967710/ Volvic,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00263,Roche volcanique grise,"""N° 39 Lave moderne avec péridot Vésuve""",https://sws.geonames.org/3164481/ Vésuve,,Lave,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00264,Arkose,"""N° 41 Arkose Ste Sabine Cote d’Or""",,"Sabine, Cote d’Or",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00265,Calcite,"""N° 42 Calcite grenn Cherbourg""",https://sws.geonames.org/3025466/ Cherbourg,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00266,Trachyte,"""N° 23 Trachyte Seph. Montagnes""",,Seph. Montagnes,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00267,Trachyte,"""N° 24 Trachyte blantachite Hongrie""",https://sws.geonames.org/719819/ Hongrie,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00268,Trachyte,"""N° 26 Trachyte avec feldspath vitreux Mont-Dore""",https://sws.geonames.org/3003253/ Mont-Dore,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00269,Domite,"""N° 27 Domite Puy-de-Dôme""",https://sws.geonames.org/2984986/ Puy-de-Dôme,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00270,Stigmite,"""N° 28 Stigmite de Muroch Cantal""",,"Muroch, Cantal",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00271,Sanidite,"""N° 29 Sanidite porphyroide Seph. Montagnes""",,Seph. Montagnes,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00272,Pierre ponce [spécimen manquant],"""N° 30 Tunnite pierre ponce Lipari""",https://sws.geonames.org/2524378/ Lipari,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00273,Phonolite,"""N° 32 Phonolite Mont-Dore""",https://sws.geonames.org/3003253/ Mont-Dore,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00274,Alloite,"""N° 33 Alloite Mont-Dore""",https://sws.geonames.org/3003253/ Mont-Dore,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00275,Tuf [spécimen manquant],"""N° 34 Tuf trachytique Seph. Montagnes""",,Seph. Montagnes,Tuf [specimen manquant],,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00276,Tuf,"""N° 35 Tuf trachytique Hongrie""",https://sws.geonames.org/719819/ Hongrie,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00277,Tuf,"""N° 36 Tuf trachytique de Riesten Eifel""",,"[Rieden, Allemagne ?]",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00278,Lherzolite,"""N° 14 Lherzolite Pyrénées""",,Pyrénées,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00279,Séphelinite,"""N° 15 Sephelinite Lochen""",https://sws.geonames.org/7873100/ Lochen,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00280,Mélaphyre,"""N° 16 Mélaphyre Oberstein""",https://sws.geonames.org/2896753/ Idar-Oberstein,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00281,Diabase schistoïde,"""N° 17 Diabase schistoïde Herborn""",https://sws.geonames.org/2906199/ Herborn,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00282,Basalte,"""N° 18 Basalte Cantal""",https://sws.geonames.org/3028791/ Cantal,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00283,Basalte,"""N° 19 Basalte avec Pyroxène Mont-Dore""",https://sws.geonames.org/3003253/ Mont-Dore,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00284,Dolérite,"""N° 20 Dolérite Viphélitique Katzenbuckel""",,"Katzenbuckel, Allemagne",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00285,Basalte scorifié,"""N° 21 Basalte scorifié Seph. Montagnes""",,Seph. Montagnes,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00286,Sodalitophyre,"""N° 22 Sodalitophyre de Riesten Eifel""",,"[Rieden, Allemagne ?]",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00287,Prologyge,"""N° 1 Prologyge Mont-Blanc""",https://sws.geonames.org/3181986/ Mont Blanc,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00288,Granite,"""N° 2 Granite Gris Cherbourg""",https://sws.geonames.org/3025466/ Cherbourg,,Granite gris,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00289,Granite,"""N° 3 Granite grain fin Saxe""",https://sws.geonames.org/2842566/ Saxe,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00290,Gneiss,"""N° 6 Gneiss avec grenat Bohème""",https://sws.geonames.org/3078198/ Bohème,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25276,S-00291,Houille,,,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00292,Pétosilex,"""N° 10 Pétosilex Pyrénées""",,Pyrénées,Pétosilex ; faute sur l'étiquette ? (Correspondance non retrouvé),,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00293,Ophite,"""N° 11 Ophite Pyrénées """,,Pyrénées,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25276,S-00294,Museau mommifié [?],,,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (deuxième rang)",25272,S-00295,Micaschiste,"""N° 13 Micaschiste Vosges""",,Vosges,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00296,Etain cassiterite [spécimen manquant],"""N° 83 Etain cassiterite Vaubry (Hte Vienne)""",,"Vaubry, Haute-Vienne",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00297,Galène [spécimen manquant],"""N° 86 Plomb Galène argentifié Espagne""",https://sws.geonames.org/2510769/ Espagne,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00298,Malachite [spécimen manquant],"""N° 92 Cuivre Malachite Chili""",https://sws.geonames.org/3895114/ Chili,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00299,Fer chromé (Chromite) [spécimen manquant],"""N° 70 Fer Fer chromé Hautenberg [illisible]""",https://sws.geonames.org/2908661/ Hauzenberg?,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00300,Anthracite,"""N° 97 Combustibles Anthracite Mayenne""",https://sws.geonames.org/2994935/ Mayenne,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00301,Houille,"""N° 98 Combustibles Houille Mons (Belgique) """,https://sws.geonames.org/2790869/ Mons,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00302,Tourbe [spécimen manquant],"""N° 99 Combustibles Tourbe Espagne""",https://sws.geonames.org/2510769/ Espagne,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25276,S-00303,Agate,,,,Agate ; cassée en 3 morceaux ; couleurs jaune et orange,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00304,Magnésie Giobertile,"""N° 59 Magnésie Giobertile Frankenston (Silénce)""",,Frankenston (Silènce),,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00305,Magnésie Brucite,"""N° 60 Magnésie Brucite [illisible] (Pennsylvanie)""",,"[illisible], Pennsylvanie",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00306,Alumine Emeri,"""N° 61 Alumine Emeri """,,Nascos,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00307,Alumine Alunite [spécimen manquant],"""N° 64 Alumine Alunite Muzay (Hongrie)""",,"Muzay, Hongrie",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00308,Fer Mispickel [spécimen manquant],"""N° 66 Fer Mispickel Munzig (Saxe)""",https://sws.geonames.org/2867487/ Munzig,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00309,Fer oxidifié,"""N° 67 Fer Fer oxidifié Breitenbunig (Saxe)""",,"Breitenbunig, Saxe",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00310,Aimant naturel,"""N° 68 Fer Aimant naturel Monte Calamita (Ile d’Elbe)""",https://sws.geonames.org/3181243/ Monte Calamita,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00311,Fer titané,"""N° 69 Fer Iserine (Fer titané) Egersund (Norvège)""",https://sws.geonames.org/3158792/ Egersund,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00312,Roche noire,"""N° 70 """,,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00313,Limonite,"""N° 73 Fer Limonite Giessen (Hesse)""",https://sws.geonames.org/2920512/ Giessen,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00314,Siderose,"""N° 74 Fer Siderose Kahlberg (Westpalie)""",https://sws.geonames.org/7532698/ Krynica Morska?,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00315,Pyrolusite [spécimen manquant],"""N° 76 Manganèse Pyrolusite Hefeld (Harz)""",,"Hefeld, Harz, Allemagne",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00316,Psilomélane,"""N° 77 Manganèse Psilomélane Sorca (Espagne)""",,"Sorca, Espagne",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00317,Héterosite,"""N° 78 Manganèse Héterosite Chanteloube (Hte Vienne)""",https://sws.geonames.org/3026879/ Chanteloube,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00318,Blende [spécimen manquant],"""N° 79 Zinc Blende Reusberg (Harz)""",,"Reusberg, Harz, Allemagne",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00319,Talc,"""N° 38 Silicates hydratés Talc Montebras (Creuse)""",https://sws.geonames.org/12323045/ Montebras,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00320,Serpentine,"""N° 39 Silicates hydratés Serpentine Corse""",https://sws.geonames.org/3023519/ Corse,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00321,Terre à foulon (?),"""N° 41 Silicates hydratés Terre à Foulon Issoudun (Indre)""",https://sws.geonames.org/3012805/ Indre,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00322,Baryte,"""N° 45 Baryte Baryte sulfatée Freiberg (Saxe)""",https://sws.geonames.org/2842566/ Saxe,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00323,Calcite,"""N° 48 Chaux Calcite olivée Andreasberg (Harz)""",https://sws.geonames.org/2909965/ Harz,,Calcite à gros cristaux,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00324,Calcite,"""N° 49 Chaux Calcite sur calcaire marmeux Dives (Calvados)""",https://sws.geonames.org/3021301/ Dives-sur-Mer,,Calcite à cristaux moyens,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25276,S-00325,Calcite,,,,Calcite jaunâtre,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00326,Aragonite,"""N° 51 Chaux aragonite Carlsbad (Bohème)""",https://sws.geonames.org/3073803/ Karlovy Vary,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00327,Dolomite,"""N° 52 Chaux dolomie Lharand (Saxe)""",https://sws.geonames.org/2842566/ Saxe,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00328,Fluorine [spécimen manquant],"""N° 53 Chaux fluorine Schlagenwald (Bohème)""",https://sws.geonames.org/3075208/ Horní Slavkov,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00329,Anhydrite [spécimen manquant],"""N° 55 Chaux anhydrite Salzburg""",https://sws.geonames.org/2766824/ Salzbourg,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00330,Apatite,"""N° 57 Chaux apatite Linarium (Norvège)""",https://sws.geonames.org/3144096/ Norvège,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00331,Apatite [spécimen manquant],"""N° 58 Chaux apatite terreuse Espagne""",https://sws.geonames.org/2510769/ Espagne,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00332,Orthose [spécimen manquant],"""N° 19 Silicates anhydres Orthose rose Montebras (Creuse)""",https://sws.geonames.org/12323045/ Montebras,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00333,Orthose,"""N° 20 Silicates anhydres Orthose blanc Chanteboule (Hte Vienne)""",https://sws.geonames.org/3026879/ Chanteloube,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00334,Obsidienne [spécimen manquant],"""N° 21 Silicates anhydres Obsidienne Islande""",https://sws.geonames.org/2629691/ Islande,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00335,Pechstein,"""N° 22 Silicates anhydres Pechstein Fréfus (Var)""",,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00336,Cordierite,"""N° 23 Silicates anhydres Codierite Bodenmais (Bavière)""",https://sws.geonames.org/2947120/ Bodenmais,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00337,Porphyre,"""N° 24 Silicates anhydres Pinite dans un porphyre quartzifère Auvergne""",https://sws.geonames.org/3035876/ Auvergne,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00338,Oosite,"""N° 25 Silicates anhydres Oosite d’Oos""",https://sws.geonames.org/2857216/ Oos,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00339,Grenat,"""N° 28 Silicates anhydres Grenat Monzoni (Tyrol)""",,"Monzoni, Tyrol, Italie",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00340,Grenat,"""N° 29 Silicates anhydres Grenat d’Auerbach (Hesse)""",https://sws.geonames.org/2954599/ Auerbach,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00341,Gibbertite,"""N° 33 Silicates anhydres Gibbertite Montebras (Creuse)""",https://sws.geonames.org/3022516/ Creuse,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00342,[Calcite ?],"""35""",,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00343,Asbeste [spécimen manquant],"""N° 17 Silicates anhydres Asbeste Saxe""",https://sws.geonames.org/2842566/ Saxe,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00344,Stéatite,"""N° 37 Silicates hydratés Sléatite Goephfegrün (Bavière)""",https://sws.geonames.org/2951839/ Bavière,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00345,Quartz (Var : Enfumé) [spécimen manquant],"""N° 3 Silice Quartz enfumé Chantebube (Hte Vienne)""",https://sws.geonames.org/3026879/ Chanteloube,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00346,Rutile [spécimen manquant],"""N° 82 Titane Rutile St Yriene (Hte Vienne)""",,"St Yriene, Haute-Vienne",,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00347,Silice [spécimen manquant],"""N° 10 Silice Tripoli Algérie""",https://sws.geonames.org/2589581/ Algérie,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00348,Cassiterite,"""83""",https://sws.geonames.org/2842566/ Saxe,,[spécimen manquant],,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00349,Quartz [spécimen manquant],"""N° 8 Silice Quartz résinite Bohème""",https://sws.geonames.org/3078198/ Bohème,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00350,Calamine [spécimen manquant],"""N° 81 Zinc Calamine Altenberg (Saxe)""",https://sws.geonames.org/2842566/ Saxe,,Craie rouge-rosée [spécimen manquant],,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25276,S-00351,Craie,,,Vallée de l’Evel (Morbihan),Craie ; couleur rose-orangée,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00352,Staurolite [spécimen manquant],"""N° 12 Silicates anhydres Staurolite Vallée de l’Evel (Morbihan)""",https://sws.geonames.org/2991879/ Morbihan,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00353,Hornblende,"""N° 14 Silicates anhydres Amphibole hornblende Chantebube (Hte Vienne)""",https://sws.geonames.org/3035876/ Auvergne,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00354,Augite [spécimen manquant],"""N° 15 Silicates anhydres Pyroscène augite (Auvergne)""",https://sws.geonames.org/3035876/ Auvergne,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00355,Roche noire,"""79""",,,,,,2021-09-20/2021-09-24
"Bibliothèque, meuble de gauche (troisième rang)",25272,S-00356,Peridotite,"""N° 18 Silicates anhydres Péridot de l’Eifel (Prusse)""",,Prusse,,,,2021-09-20/2021-09-24
